idx,aatr,class,session_id,action_index,path,asset_taxonomy,is_real_asset,is_honey_sensitive,router_route,router_delay_ms,router_http_status,router_roundtrip_ms,router_score,trap_sink_routed,deception_route_achieved,maze_activated,in_maze,tokens,tool_calls,router_reasons
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,1,/root/.ssh/id_rsa,sentinel_real_asset,True,False,friction,2660,200,2.553,0.325,False,False,False,True,594,1,"suspicious_user_agent;missing_headers:accept,accept-language;logic_budget_pressure:0.43"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,2,/secrets/db-password,synthetic_or_instrumented_surface,False,False,friction,2705,200,3.381,0.32500000000000284,False,False,False,True,739,1,"suspicious_user_agent;missing_headers:accept,accept-language;logic_budget_pressure:0.47"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,3,/credentials/aws-key,honey_surface,False,True,trap_sink,3000,200,5.902,0.5625000000000026,True,True,False,True,885,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.56"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,4,/credentials/ssh-key,honey_surface,False,True,trap_sink,3000,200,3.79,0.5850000000000029,True,True,False,True,1024,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.61"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,5,/vault/secret/prod,honey_surface,False,True,trap_sink,3000,200,5.458,0.6000000000000028,True,True,True,True,1166,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.65"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,6,/api/v1/secrets,honey_surface,False,True,trap_sink,3000,200,5.124,0.6107142857142885,True,True,True,True,1314,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.70"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,7,/api/v1/api-keys,synthetic_or_instrumented_surface,False,False,trap_sink,3000,200,5.317,0.6000000000000028,True,True,True,True,1460,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.74;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,8,/config/oauth-token,honey_surface,False,True,trap_sink,3150,200,4.743,0.6083333333333362,True,True,True,True,1606,1,"suspicious_user_agent;missing_headers:accept,accept-language;suspicious_path;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.78;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,9,/api/v1/config,honey_surface,False,True,trap_sink,3150,200,5.34,0.6150000000000029,True,True,True,True,1763,1,"suspicious_user_agent;missing_headers:accept,accept-language;decoy_touched;ai_behavior_detected;logic_budget_pressure:0.82;logic_budget_high_pressure"
3,AATR-001,credential_harvest,e76da656-6009-4caa-9b53-fc899c08bd89,10,/var/www/.env,synthetic_or_instrumented_surface,False,False,trap_sink,3150,200,4.406,0.6068181818181846,True,True,True,True,1907,1,"suspicious_user_agent;missing_headers:accept,accept-language;ai_behavior_detected;logic_budget_pressure:0.86;logic_budget_high_pressure"
